"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
61, 3.113999962810000e-01, -5.997565198183213e-02, 1.818033006188541e-02, -1.448710703510606e-01, 2.760217773890077e-03, 5.144493751368172e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.096251881650478e-04
62, 2.968699932100000e-01, -6.000550062925582e-02, 1.860403246363713e-02, -1.480474353495350e-01, 1.019803962510324e-02, 5.267871742528778e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.677305248765021e-04
63, 2.825500071050000e-01, -5.994005483718394e-02, 1.901239326183586e-02, -1.510512748102912e-01, 1.798146918554881e-02, 5.376387612435493e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.673887175167494e-04
64, 2.684499919410000e-01, -5.977765596976551e-02, 1.939859423630025e-02, -1.538254426095433e-01, 2.625164257138192e-02, 5.489797184460237e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.241677773305741e-04
65, 2.545700073240000e-01, -5.951657836311273e-02, 1.976367197526827e-02, -1.563705226988300e-01, 3.489719590410862e-02, 5.585810542991673e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.478111437873392e-04
66, 2.409400045870000e-01, -5.915585896897953e-02, 2.010327102530035e-02, -1.586440371592397e-01, 4.407212810643933e-02, 5.686334762170312e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.947071636863099e-04
67, 2.275699973110000e-01, -5.869456802648413e-02, 2.041487686692189e-02, -1.606202809402645e-01, 5.366637835764014e-02, 5.767882211778334e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.041164213205972e-04
68, 2.144699990750000e-01, -5.813197420944613e-02, 2.069862976995221e-02, -1.622854989164553e-01, 6.382101685533714e-02, 5.851210704764661e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.858690027083097e-04
69, 2.016600072380000e-01, -5.746811193675738e-02, 2.094542622360929e-02, -1.635635891058053e-01, 7.446585894203024e-02, 5.915421019153840e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.757352126895881e-05
70, 1.891400069000000e-01, -5.670228146432130e-02, 2.116199955983807e-02, -1.644854492540047e-01, 8.570380968370490e-02, 5.977859254206709e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.701119834374163e-04
71, 1.769299954180000e-01, -5.583513598033686e-02, 2.132526168533179e-02, -1.648684507234788e-01, 9.750021109450893e-02, 6.021016299440945e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.377606213336575e-05
72, 1.650400012730000e-01, -5.486709202536137e-02, 2.145259827792455e-02, -1.648139247840897e-01, 1.099643990309316e-01, 6.058827837743273e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.276049264477268e-04
73, 1.534900069240000e-01, -5.379977779145956e-02, 2.151552195873862e-02, -1.640960149431788e-01, 1.230518436233476e-01, 6.076022261265669e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.371882683417252e-05
74, 1.422899961470000e-01, -5.263443049277360e-02, 2.153581589939664e-02, -1.628385958147839e-01, 1.369078318499016e-01, 6.083139467938256e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.259026584318384e-04
75, 1.314399987460000e-01, -5.137133628795417e-02, 2.148488357845982e-02, -1.608092508934676e-01, 1.514875759310534e-01, 6.067476344839175e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.024992801261706e-04
76, 1.209499984980000e-01, -5.001187382363489e-02, 2.136873092644609e-02, -1.579980949205097e-01, 1.669506335742443e-01, 6.038190407059015e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.639188364109689e-04
