"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,         125,      -7.535256688,      -6.902521535,       -7.18955213,                 0,      -7.694809537
          0,           0,         126,      -7.552720203,       -6.92230529,      -7.214164371,                 0,      -7.713156845
          0,           0,         127,       -7.56960454,      -6.941375532,      -7.238556644,                 0,      -7.730767174
          0,           0,         128,      -7.585891691,      -6.959694176,      -7.262854429,                 0,      -7.747850438
          0,           0,         129,      -7.601689833,      -6.977250242,       -7.28718885,                 0,      -7.764627636
          0,           0,         130,      -7.617216037,      -6.994057216,      -7.311673219,                 0,      -7.781298957
          0,           0,         131,      -7.632756084,      -7.010147036,      -7.336380234,                 0,      -7.798019922
          0,           0,         132,      -7.648611695,      -7.025562885,      -7.361324301,                 0,      -7.814886113
          0,           0,         133,      -7.665047198,      -7.040352564,      -7.386452896,                 0,      -7.831925808
          0,           0,         134,      -7.682244974,      -7.054563418,      -7.411649001,                 0,      -7.849099644
          0,           0,         135,      -7.700274655,      -7.068239085,      -7.436744068,                 0,      -7.866306495
          0,           0,         136,      -7.719077913,      -7.081417819,      -7.461538331,                 0,      -7.883394883
          0,           0,         137,      -7.738469686,      -7.094132055,      -7.485823747,                 0,      -7.900179553
          0,           0,         138,      -7.758157056,      -7.106408949,      -7.509404751,                 0,      -7.916462927
          0,           0,         139,      -7.777776724,      -7.118271689,      -7.532113747,                 0,      -7.932060488
          0,           0,         140,      -7.796949494,      -7.129741308,      -7.553820746,                 0,      -7.946827523
          0,           0,         141,      -7.815344761,      -7.140838465,      -7.574438788,                 0,      -7.960682626
          0,           0,         142,      -7.832741718,      -7.151584599,      -7.593927151,                 0,      -7.973622294
          0,           0,         143,      -7.849070588,      -7.162001968,      -7.612292955,                 0,      -7.985721786
          0,           0,         144,      -7.864420597,      -7.172112448,      -7.629589583,                 0,      -7.997120577
          0,           0,         145,      -7.879011541,      -7.181935478,       -7.64590946,                 0,      -8.007995008
          0,           0,         146,        -7.8931379,      -7.191485857,      -7.661370072,                 0,      -8.018524398
          0,           0,         147,       -7.90710218,      -7.200772247,      -7.676095195,                 0,      -8.028858528
          0,           0,         148,      -7.921154445,       -7.20979708,      -7.690196189,                 0,      -8.039093695
          0,           0,         149,      -7.935449926,      -7.218558188,      -7.703759136,                 0,      -8.049262129
          0,           0,         150,      -7.950029928,       -7.22705194,      -7.716841739,                 0,      -8.059336318
          0,           0,         151,      -7.964826058,      -7.235277189,      -7.729480116,                 0,      -8.069246387
          0,           0,         152,      -7.979684393,       -7.24323893,      -7.741701621,                 0,      -8.078905699
          0,           0,         153,       -7.99440388,      -7.250950602,      -7.753537557,                 0,      -8.088237976
          0,           0,         154,      -8.008781233,      -7.258434331,      -7.765030357,                 0,      -8.097199487
          0,           0,         155,      -8.022653205,      -7.265719107,      -7.776233149,                 0,      -8.105792535
          0,           0,         156,      -8.035927478,      -7.272837634,      -7.787204207,                 0,      -8.114071172
          0,           0,         157,      -8.048596475,      -7.279823233,      -7.798002916,                 0,      -8.122145638
          0,           0,         158,      -8.060734031,      -7.286708808,       -7.80869715,                 0,      -8.130198425
          0,           0,         159,      -8.072481707,      -7.293531214,      -7.819396675,                 0,      -8.138535188
          0,           0,         160,      -8.084038634,      -7.300348142,      -7.830338654,                 0,      -8.147715528
          0,           0,         161,      -8.095676005,      -7.307284219,      -7.842070853,                 0,      -8.158839091
          0,           0,         162,      -8.107785317,      -7.314628599,      -7.855700698,                 0,        -8.1738995
          0,           0,         163,      -8.120758802,      -7.322832891,      -7.872212915,                 0,      -8.194283446
          0,           0,         164,      -8.134123178,      -7.331603825,      -7.888709411,                 0,      -8.213785935
          0,           0,         165,      -8.146788416,       -7.33959651,      -7.900827983,                 0,      -8.225469367
          0,           0,         166,      -8.158474739,      -7.346626752,      -7.909423659,                 0,      -8.232150918
          0,           0,         167,      -8.169547209,      -7.353203443,      -7.916403018,                 0,      -8.237307685
          0,           0,         168,       -8.18018127,      -7.359505829,      -7.922371175,                 0,      -8.241899941
          0,           0,         169,      -8.190407141,      -7.365604694,      -7.927588272,                 0,      -8.245807261
          0,           0,         170,      -8.200197592,      -7.371525591,      -7.932414105,                 0,      -8.249366653
          0,           0,         171,      -8.209614147,      -7.377319509,      -7.937276667,                 0,      -8.252976042
          0,           0,         172,      -8.218641722,      -7.382997171,       -7.94227371,                 0,      -8.256340445
          0,           0,         173,       -8.22724056,      -7.388521977,      -7.947335559,                 0,      -8.259092403
          0,           0,         174,      -8.235486925,      -7.393912124,      -7.952555549,                 0,      -8.261500966
          0,           0,         175,       -8.24346732,      -7.399218796,      -7.958072351,                 0,       -8.26389405
          0,           0,         176,      -8.251186575,      -7.404453049,      -7.963906964,                 0,      -8.266173505
          0,           0,         177,      -8.258647017,      -7.409606162,      -7.970052455,                 0,      -8.268221859
          0,           0,         178,      -8.265896184,      -7.414688842,      -7.976561561,                 0,      -8.270199767
          0,           0,         179,       -8.27297109,      -7.419713752,      -7.983464665,                 0,      -8.272292176
          0,           0,         180,      -8.279871722,       -7.42467537,      -7.990679038,                 0,      -8.274514505
          0,           0,         181,      -8.286590792,      -7.429564351,      -7.998044345,                 0,      -8.276843543
          0,           0,         182,      -8.293128411,      -7.434383511,      -8.005393944,                 0,      -8.279324756
          0,           0,         183,      -8.299482723,      -7.439145179,      -8.012565611,                 0,      -8.282011544
          0,           0,         184,      -8.305644926,      -7.443863574,      -8.019393963,                 0,      -8.284901857
          0,           0,         185,      -8.311603574,      -7.448551842,      -8.025732385,                 0,      -8.287956647
