"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         111,      -4.859895449,      -2.718482949,      -2.380053853,      0.6211421075,      -7.049105042
          0,           0,         112,      -4.852872157,      -2.744445922,      -2.403155379,      0.6283095909,      -7.048330044
          0,           0,         113,      -4.848420566,      -2.765163554,      -2.415203015,      0.6328597663,      -7.047513528
          0,           0,         114,      -4.849098862,      -2.779398494,      -2.429798052,      0.6322424344,      -7.046676117
          0,           0,         115,      -4.854267122,      -2.785581875,      -2.440498731,      0.6270956956,      -7.045878769
          0,           0,         116,      -4.862145323,      -2.784437032,      -2.440987144,      0.6191942564,      -7.045075333
          0,           0,         117,      -4.874057137,      -2.776672406,      -2.436161755,       0.607207431,        -7.0443307
          0,           0,         118,      -4.887491268,      -2.766048419,      -2.422955002,      0.5936668351,        -7.0436113
          0,           0,         119,      -4.905180507,      -2.753556516,      -2.416831355,        0.57580913,      -7.042982651
          0,           0,         120,       -4.92484406,      -2.741841645,      -2.407071483,      0.5559653045,      -7.042398145
          0,           0,         121,      -4.942075281,      -2.730707974,      -2.386754919,      0.5384968637,      -7.041829465
          0,           0,         122,      -4.962824225,       -2.72290669,      -2.387617511,       0.517534326,      -7.041271687
          0,           0,         123,      -4.979618046,      -2.716245342,       -2.37432503,      0.5005285504,      -7.040725821
          0,           0,         124,      -4.994264356,      -2.712804605,      -2.372299144,      0.4857281118,      -7.040203841
          0,           0,         125,      -5.004384397,      -2.710778046,      -2.369384212,      0.4755417413,      -7.039711196
          0,           0,         126,      -5.012284698,      -2.711374127,      -2.372475668,      0.4676414337,      -7.039246458
          0,           0,         127,      -5.012129307,       -2.71323046,      -2.371413343,      0.4679293144,      -7.038832927
          0,           0,         128,      -5.011650673,      -2.717606208,      -2.383455705,      0.4685828227,      -7.038453198
          0,           0,         129,       -5.00711811,      -2.722616821,      -2.389060125,      0.4733521931,      -7.038123676
          0,           0,         130,      -4.998204248,       -2.73004394,      -2.395836306,       0.482494455,      -7.037854565
          0,           0,         131,      -4.989949569,      -2.738396409,      -2.408573941,      0.4909933595,      -7.037659723
          0,           0,         132,      -4.982843587,      -2.748659932,      -2.421111977,       0.498291085,      -7.037561127
          0,           0,         133,       -4.97248539,      -2.759633023,      -2.425824703,      0.5088099883,      -7.037553037
          0,           0,         134,      -4.967749736,      -2.772014508,      -2.443361119,       0.513666983,      -7.037634481
          0,           0,         135,      -4.965031771,      -2.784262469,      -2.458399852,      0.5164927241,      -7.037823546
          0,           0,         136,      -4.959958716,       -2.79600421,      -2.456483097,      0.5215935162,      -7.038128983
          0,           0,         137,      -4.963137356,      -2.806540672,      -2.482108396,      0.5184710748,      -7.038528085
          0,           0,         138,      -4.964591524,      -2.814012099,      -2.469531972,      0.5170054215,      -7.039010337
          0,           0,         139,      -4.968266347,      -2.818570042,      -2.480216086,      0.5133030134,      -7.039621994
          0,           0,         140,      -4.976825764,      -2.819529333,      -2.477677466,      0.5047063091,      -7.040344419
          0,           0,         141,      -4.987857253,      -2.816768578,      -2.480966898,      0.4936274334,      -7.041121833
          0,           0,         142,       -4.99669701,      -2.811610512,      -2.464814483,      0.4846863802,      -7.041964911
          0,           0,         143,       -5.01392728,      -2.805195361,      -2.482778514,      0.4673811346,      -7.042860404
          0,           0,         144,      -5.024268928,      -2.797432177,      -2.455764322,       0.456924127,      -7.043798989
          0,           0,         145,      -5.036960725,      -2.790812426,      -2.460212341,      0.4441152891,      -7.044755367
          0,           0,         146,      -5.054348519,      -2.785494783,      -2.460601102,      0.4266314547,      -7.045704049
          0,           0,         147,      -5.063488516,      -2.781430328,      -2.454526233,      0.4173959348,      -7.046617967
          0,           0,         148,      -5.069097128,      -2.780184034,      -2.446291519,      0.4117165617,      -7.047497454
          0,           0,         149,      -5.082837012,      -2.781836808,      -2.468326902,       0.397959669,      -7.048309451
          0,           0,         150,      -5.078306105,      -2.785083821,      -2.444918441,        0.40250616,      -7.049057769
          0,           0,         151,      -5.076451668,      -2.791608772,      -2.454833656,       0.404397179,       -7.04974128
          0,           0,         152,       -5.07907422,      -2.800851865,      -2.467969476,       0.401890818,      -7.050335613
          0,           0,         153,      -5.072721902,      -2.811710003,      -2.470918747,      0.4083487431,      -7.050818399
          0,           0,         154,      -5.061671699,      -2.824618632,      -2.464213481,      0.4195034017,      -7.051203347
          0,           0,         155,      -5.062893237,      -2.839278114,      -2.498939576,      0.4184221106,      -7.051475375
          0,           0,         156,      -5.052704645,      -2.853787083,      -2.481724231,      0.4287166254,      -7.051640209
          0,           0,         157,      -5.046873924,      -2.868868406,       -2.49987327,      0.4346204519,      -7.051708459
          0,           0,         158,      -5.046099264,      -2.883512561,      -2.503421279,      0.4354876575,      -7.051681669
          0,           0,         159,      -5.045754738,      -2.896086253,      -2.519167196,      0.4358916034,      -7.051561023
          0,           0,         160,      -5.041282539,       -2.90673587,       -2.49827062,      0.4403565396,      -7.051382553
          0,           0,         161,      -5.050836296,      -2.915697967,      -2.541904588,      0.4308324027,      -7.051131435
          0,           0,         162,       -5.05139411,      -2.920554927,      -2.508250735,      0.4302293448,      -7.050822025
          0,           0,         163,      -5.057591228,      -2.923025911,      -2.524272162,      0.4239589176,        -7.0504822
          0,           0,         164,      -5.068562534,      -2.923706438,      -2.518853282,      0.4129172406,      -7.050103397
